Date,price_TSLA,vol8_TSLA,vol12_TSLA,vol24_TSLA,vol30_TSLA,macd_TSLA,log_ret_TSLA,log_ret_norm5_TSLA,sma8_TSLA,sma12_TSLA,sma24_TSLA,sma30_TSLA,ema8_TSLA,ema12_TSLA,ema24_TSLA,ema30_TSLA,volume_zscore8_TSLA,volume_zscore12_TSLA,volume_zscore24_TSLA,volume_zscore30_TSLA,^N225,HG=F,ZC=F,TLT,^GSPC,AUDUSD=X,CL=F,SHY,BRL=X,^VIX,NG=F,^FVX,UUP,SI=F,TIP,^IRX,IEF,HYG,day_of_week,month
2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-10,0.2090731515136371,-0.12563070298114398,-0.08896335080335391,-0.06889754736475351,-0.12409412286225949,-0.11303842045206054,0.9997809142883779,0.8857090185985779,-0.0506947427766724,-0.023865685988075876,-0.007638796793003477,0.005045717357202807,-0.033232757746100336,-0.032446337231806115,-0.019690603837298277,-0.015380857049011735,-0.379488091926247,-0.33687162722482517,-0.39385661446134934,-0.41349224839322146,-0.11650426486311748,0.1078163180211218,-0.25148143801050016,-0.19445922672667545,0.2253218821728082,0.028337268527151852,0.3498377585763479,-0.13002589074582957,-0.10115924628144743,-0.21657003655926402,-0.17074838270544254,0.16164668643864277,-0.1482615785504816,0.11116635155343739,-0.13153266142861128,-0.09335808822063124,-0.20389644383899827,0.21604601604819945,-0.08588419174809678,-0.04893727257211369
2019-05-13,0.27164871188061696,-0.1507837063657047,-0.11671412676883398,-0.040329605338834076,-0.12325168071395118,-0.06300041633908841,0.9997910241100588,0.8928578825305795,0.011096890453029114,0.045182151035256315,0.05709436989264617,0.0643064077412796,0.03364437531580582,0.034217177552021596,0.04566113709682764,0.04955046205733772,-0.37285827596476895,-0.32439496223547987,-0.38389410411020347,-0.4031210990711476,-0.09036951643329287,0.14843807630441844,-0.2797802599961048,-0.22378022733633962,0.2973697641003442,0.02831983708917815,0.3643487125853527,-0.17750242698591065,-0.10731469061473962,-0.2868202143706484,-0.16757431636084782,0.20499086079767787,-0.14316403678222386,0.10927032846699011,-0.15251721503822413,-0.044821889445547484,-0.24309628252532703,0.2951580230375003,-0.0380967525097961,-0.10414783387001408
2019-05-14,0.21974001415044386,-0.13262787546558544,-0.09391359558473737,-0.067605919953391,-0.14735875138760168,-0.10239112004399659,0.9997927109567042,0.8929682300400494,-0.03660394248767921,-0.006027369730608689,0.0070203233309528495,0.015901690949623654,-0.01757919410321907,-0.01668241223341897,-0.004317559810296928,-0.00014844238960086772,-0.3705330171258299,-0.32576623980839964,-0.38643313368304444,-0.40562039382941256,-0.08829622389548886,0.14292392433071255,-0.20808252879418598,-0.23380980028031853,0.3009415799470923,0.0030133193710561845,0.36450452506454695,-0.17135844215002863,-0.0855943842107685,-0.2965307139865597,-0.16655358284104588,0.20500394975651784,-0.12211841046097581,0.10044925370847003,-0.14745774552239194,-0.038101925528278145,-0.24481714400648846,0.2965545116911227,-0.06497911066443968,-0.06044659013581576
2019-05-15,0.21863602825938278,-0.1383723840319914,-0.10021295063304902,-0.06675155613325365,-0.14698037644094136,-0.10217209593904017,0.9997930699718698,0.892546836295905,-0.036261342364520215,-0.005824140160994668,0.006903954116816334,0.016388445800044733,-0.01740827903377863,-0.01653949806089877,-0.004330822611752272,-0.00022013323352022086,-0.3769973030464099,-0.3332963525883109,-0.3898081390888867,-0.40933502479228423,-0.08653514186041386,0.1546605826004834,-0.20200337711378724,-0.2301726225324897,0.3009234294369887,0.004727067972410166,0.3665880979813954,-0.16812129479429025,-0.08596618660454554,-0.2952434003546258,-0.16550585551833832,0.20007122384821632,-0.12729731399907804,0.10553015023238095,-0.1448979433918468,-0.03798039704803358,-0.24081877158294984,0.29687564621118206,-0.06642246347197966,-0.061351573728483356
2019-05-16,0.2343366366054878,-0.14350247139346053,-0.11226713856456627,-0.059140887680106176,-0.14557221023224454,-0.08691303853435056,0.9997935131892162,0.8924258450228169,-0.01672501812375635,0.013338503638096223,0.025670439199701064,0.035427933691349486,0.002327550003432638,0.0031183039973700084,0.01481970322103646,0.0187527839416132,-0.37510019990966664,-0.32671219292550213,-0.3834415493644224,-0.40175134972559806,-0.07960989974610208,0.1610944425897314,-0.2077357006486308,-0.2272665108318833,0.2892497475167709,0.011180217883800107,0.36403898282555386,-0.15825247831629746,-0.09065418981296886,-0.2909466902594548,-0.17311679863955148,0.19111679623975006,-0.131581266756741,0.1214839400807974,-0.1374144560340691,-0.028959290934430636,-0.23412151807595938,0.2859637148899381,-0.07088981544115971,-0.07794866097547336
2019-05-17,0.3371915394042678,-0.179315135102802,-0.19516604765688372,-0.06002184886480533,-0.11516474321883727,0.01909130074688989,0.9997849870563934,0.8904983331825788,0.10122276228113512,0.12429702204828326,0.1343314754839654,0.1458747600668244,0.12062294051204255,0.12002180452831951,0.12766611865705124,0.13031266268519812,-0.41086805506830354,-0.32601457070264855,-0.39934231541928894,-0.4223452014481693,-0.11379425004555731,0.1519974337545419,-0.21523932161647527,-0.2655891932483413,0.3033514900707866,0.05618847328742902,0.3589974795440921,-0.1755359048610372,-0.13017253240892826,-0.2923073369690801,-0.13350769207728103,0.20837237310462495,-0.15127918303635954,0.11114701939815945,-0.12530997337911676,0.013831441513761488,-0.25140374935360404,0.27694648496987756,-0.11099613054992878,-0.16914406002055143
